기업이름,고용형태,연봉,기업주소,키워드,담당업무,인덱스,필요역량
유진로봇,경력 6~10년,회사내규에 따름,인천 연수구 하모니로187번길 33,자율주행,AMS사업부 SI팀 SW(프론트엔드) 개발자 채용,719,[]
유진로봇,경력 5~10년,회사내규에 따름,인천 연수구 하모니로187번길 33,자율주행,AMS사업부 SI팀 PLC 엔지니어,720,['PLC']
이노시뮬레이션,경력 3~9년,회사내규에 따름,서울 강서구 마곡중앙8로7길 5 (주)이노시뮬레이션,자율주행,"엔진 개발자(Unreal, Unity)",721,"['석사', '자율주행']"
스타마타,경력신입~10년,회사내규에 따름,"경기도 성남시 중원구 성남대로 997번길 25-15, 4층",자율주행,SW개발 신입/경력 채용 (시뮬레이션),722,"['석사', '전공자', 'SW', '분석', '경력자', '학위', '박사']"
펀진,경력 1~5년,회사내규에 따름,"서울 성동구 연무장5가길 7, 이스트동 13층",자율주행,Path Planning 엔지니어,723,"['석사', '자율주행', '머신러닝', 'Linux', '딥러닝', '시스템', '최적화', '경력자', '임베디드', '알고리즘', 'ROS']"
발레오오토모티브코리아,경력 1~9년,회사내규에 따름,경기 안양시 동안구 동편로 77 3층,자율주행,[발레오/안양] 자율 주행 센서 Software Engineer (Development Engineer),724,"['Sw', 'SW']"
발레오오토모티브코리아,경력 1~9년,회사내규에 따름,경기 안양시 동안구 동편로 77 3층,자율주행,[발레오/안양] 자율 주행 센서 System Engineer,725,['SW']
발레오오토모티브코리아,경력 1~9년,회사내규에 따름,경기 안양시 동안구 동편로 77 3층,자율주행,[발레오/안양] 자율 주행 센서 Software Engineer,726,"['SW', '영어']"
시스콘,경력 3~10년,회사내규에 따름,"인천광역시 서구 로봇랜드로 155-30, 로봇R&D센터 4층",자율주행,Robotics Engineer(Path planning & Control Engineer/Researcher),727,"['석사', '영어', '제어', 'C', '개선', '로봇', '프로젝트', '최적화']"
실리콘투,경력 1~5년,회사내규에 따름,"경기 성남시 분당구 판교역로 231, S동 907호",자율주행,[StyleKorean] 실리콘투 백엔드 개발자 채용,728,[]
센서텍,경력 3~10년,회사내규에 따름,서울시 강서구 마곡동 790-3,자율주행,S/W 개발 (경력),729,"['전공자', 'Embedded', '영어', '제어', 'S/W', 'ADAS', '통신', '설계', 'PLC']"
센서텍,경력 3~9년,회사내규에 따름,서울시 강서구 마곡동 790-3,자율주행,디지털 H/W 회로설계 개발 경력직 채용(RADAR),730,"['전공자', '회로', '검증', '성능', 'ADAS', '통신', '임베디드', '설계']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",자율주행,무인운반차(AGV) 주행 분야 SW개발자 모집,731,"['논문', 'Linux', '제어', 'SW', '검증', '시스템', '알고리즘', '설계']"
다임리서치,경력 5~10년,회사내규에 따름,서울 서초구 반포대로 28길 20 두원빌딩 2층,자율주행,백엔드 엔지니어 (AI 로봇 관제 솔루션),732,"['제어', 'C', '데이터', '로봇', '통신', 'AI', '알고리즘', '설계']"
다임리서치,경력 2~7년,회사내규에 따름,서울시 서초구 반포대로28길 20,자율주행,디지털 트윈 제작을 위한 Unity 3D 개발자,733,"['C', '3D', '프로젝트', 'C++', '설계']"
다임리서치,경력 2~7년,회사내규에 따름,서울시 서초구 반포대로28길 20,자율주행,디지털 트윈 제작을 위한 Unity 3D 모델러,734,"['C', '3D', '프로젝트', '최적화', 'C++']"
니어스랩,경력 2~10년,회사내규에 따름,"서울 강남구 논현로 417, 4,5층 4,5층",드론,웹 프론트엔드 엔지니어,735,"['웹', '성능', '협업', '시스템', '최적화']"
니어스랩,경력 3~10년,회사내규에 따름,"서울 강남구 논현로 417, 4,5층 4,5층",드론,임베디드 시스템 프로그래머,736,"['Embedded', 'C', '분석', '데이터', '검증', '성능', '시스템', 'C++', '학위', '통신', '임베디드', 'Linux', '설계', 'ROS']"
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,[전문연구요원 가능] ML Engineer/Researcher 채용,737,"['석사', 'Computer', '데이터', 'Vision', 'Tensorflow', '딥러닝', '프로젝트', '학위', '최적화', 'AI', '경력자', '박사', '알고리즘', '설계', '이미지']"
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,(전문연구요원 가능) AI 컴파일러 엔지니어 채용,738,"['석사', 'C/C++', 'tensorflow', 'C', 'Vision', '딥러닝', '시스템', '프로젝트', '학위', 'C++', 'AI', '최적화', '엔지니어', 'vision', '경력자', '박사']"
에너자이,경력 2~3년,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,[전문연구요원 가능] AI CCTV 어플리케이션 개발자,739,"['Embedded', 'C', 'linux', '영상처리', '최적화', '엔지니어', 'AI', '임베디드', '알고리즘']"
에너자이,경력신입,회사내규에 따름,서울 강남구 테헤란로27길 27,드론,[전문연구요원 가능] Runtime 소프트웨어 엔지니어 채용,740,"['C', 'linux', '분석', '프로젝트', '최적화', '통신', 'AI', 'api', '알고리즘']"
새론에스엔아이,경력신입~7년,회사내규에 따름,대전 유성구 둔곡동 405-12,드론,펌웨어 개발자,741,"['C', 'C++', '전공자', '석사']"
아이로,경력신입~4년,회사내규에 따름,경기도 광명시 덕안로104번길 17 광명 M클러스터 3층 310호,드론,전자회로 개발자 모집,742,"['회로', '드론', '분석', '로봇', '경험을', '설계']"
칼만,경력신입,회사내규에 따름,경기 안양시 동안구 엘에스로 142 안양 skv1 센터 511호,드론,로봇 개발자,743,"['Embedded', '드론', 'C', '개선', '데이터', '로봇', '영상처리', 'Python', '설계']"
아르고스다인,경력신입~15년,회사내규에 따름,"경기 용인시 기흥구 기흥로 58-1, 제에이동 1306호, 1311호",드론,로봇 자율 이동 모듈 개발자,744,"['드론', 'C', 'SW', '프로젝트', 'C++', 'AI', '임베디드', 'ROS']"
엔젤로보틱스,경력 8~15년,회사내규에 따름,"서울 성동구 성수이로22길 37, 6층",로봇제어,[엔젤로보틱스] 로봇 제어 엔지니어,745,"['제어', 'C', 'SW', '로봇', '시스템', '최적화', '임베디드', '설계']"
비전세미콘,경력신입~10년,회사내규에 따름,세종특별자치시 집현중앙4로 79 (집현동),로봇제어,자동화 시스템 및 로봇제어 소프트웨어 개발,746,"['전공자', 'C', '제어', 'SW', '로봇', '시스템', 'C++', '공학']"
지에스티,경력 3~10년,회사내규에 따름,경기 부천시 석천로 397 103동 1109호,로봇제어,백엔드 개발,747,"['웹', '제어', 'C', '데이터', '로봇', '시스템', '통신', 'API', '경험을', '설계', 'PLC']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,협동로봇 제어 SW 개발자 경력사원 모집,748,"['석사', 'C', '제어', 'S/W', '로봇', '시스템', 'C++', '학위', '통신', 'Python', '임베디드', 'API']"
유진로봇,경력 5~10년,회사내규에 따름,인천 연수구 하모니로187번길 33,로봇제어,청소로봇팀 제어엔지니어,749,"['전공자', '제어', 'C', '시스템', 'C++', '임베디드', '알고리즘']"
알지에이아이엔씨(RGA Inc.),경력신입~20년,회사내규에 따름,서울 서초구 서초대로 396 7층,로봇제어,로보틱스 & 제어 엔지니어,750,"['Data', 'Embedded', '제어', 'C', '3D', 'SW', 'Vision', '로봇', '시스템', '프로젝트', '협업', '통신', '박사', '설계', 'ROS']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,협동로봇 제어 HW 개발자 경력사원 모집,751,"['석사', '회로', '제어', '성능', '통신', '설계']"
알지티,경력 3~10년,회사내규에 따름,서울 금천구 디지털로10길 78 10층 1009호,로봇제어,모바일 로봇 제어 SW 개발자 채용,752,"['석사', 'C', '경력자', '학위', '박사', 'python', '알고리즘', 'ROS']"
알지티,경력 3~4년,회사내규에 따름,서울 금천구 디지털로10길 78 10층 1009호,로봇제어,다중 로봇 제어 SW 개발자,753,"['석사', 'C', '로봇', 'C++', '학위', '경력자', '박사', 'Python', '알고리즘', '설계']"
에프엠,경력 3~10년,회사내규에 따름,충북 청주시 흥덕구 오송읍 오송생명10로 47,로봇제어,소프트웨어 개발 경력직 채용,754,"['자율주행', 'C', '데이터', 'PYTHON', 'S/W', '로봇', 'C++']"
라덱셀,경력 3~10년,회사내규에 따름,서울 용산구 서빙고로 17 센트럴파크타워 타워동 1705호 (한강로3가),로봇제어,로봇/기계 제어 SW 개발 (암치료 장비),755,"['로봇', '시스템', '제어']"
칼만,경력신입,회사내규에 따름,경기 안양시 동안구 엘에스로 142 안양 skv1 센터 511호,로봇제어,로봇 개발자,756,"['Embedded', '드론', 'C', '개선', '데이터', '로봇', '영상처리', 'Python', '설계']"
슈어소프트테크,경력 3~15년,회사내규에 따름,경기 성남시 수정구 금토로80번길 37 인피니티타워 E동,로봇제어,[로보틱스개발팀] C/C++개발자,757,"['Embedded', '제어', 'C', 'linux', 'SW', '검증', 'S/W', '로봇', 'Python', '임베디드', 'ROS']"
한화로보틱스,경력 2~6년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,협동로봇 알고리즘 개발자 경력사원 모집,758,"['석사', '학사', '제어', 'C', 'SW', '로봇', 'C++', 'Python', '설계']"
유진로봇,경력 4~10년,회사내규에 따름,인천 연수구 하모니로187번길 33,로봇제어,개발본부 제어 엔지니어,759,"['학사', '제어', 'C', '로봇', '알고리즘', 'ROS']"
에이알247,경력 2~10년,회사내규에 따름,경기도 성남시 분당구 구미동 로드랜드이지타워 108호,로봇제어,자율주행 로봇 Motion Control &  Path Planning,760,"['제어', 'C', 'Linux']"
랩투마켓,경력 5~15년,회사내규에 따름,서울시 강서구 마곡중앙8로 14 408호,로봇제어,로봇 하드웨어 제어 개발자 채용,761,"['전공자', '영어', '제어', '경험을', '임베디드', '설계', 'PLC']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,협동로봇 Application 설계 개발자 경력사원 모집,762,"['기획', '제어', '3D', '분석', 'SW', '검증', '로봇', '시스템', '프로젝트', '통신', '설계', 'PLC']"
로아스,경력 2~10년,회사내규에 따름,"경기도 안양시 동안구 엘에스로 116번길39, 사무동 402호 엘에스엠트론하이테크센터(호계동)",로봇제어,기술지원팀 로봇 기술지원(Field Application Engineer) 경력직 채용,763,"['영어', 'SW', '분석', '로봇', '경력자']"
로아스,경력 3~10년,회사내규에 따름,"경기도 안양시 동안구 엘에스로 116번길39, 사무동 402호 엘에스엠트론하이테크센터(호계동)",로봇제어,플랫폼개발팀 로봇 전장개발 경력직 채용,764,"['전공자', '회로', 'Embedded', '로봇', '통신', '설계']"
아이로,경력신입~20년,회사내규에 따름,"경기 광명시 덕안로104번길 17 310호,311호,312호,313(일직동)",로봇제어,로봇물고기 펌웨어 엔지니어,765,"['제어', '로봇', '시스템', '통신', '경험을']"
클로봇,경력 10~20년,회사내규에 따름,"경기도 성남시 분당구 성남대로925번길 16, 7층 701호(야탑동)",로봇제어,[클로봇] 로봇 관제 시스템 설계 개발 리더,766,"['전공자', '컴퓨터공학', '자율주행', '웹', '제어', '분석', '로봇', '시스템', '프로젝트', 'AI', '경험을', '설계']"
나인벨,경력 10~20년,회사내규에 따름,경기 성남시 중원구 사기막골로 99 센트럴비즈타워 2차 615호,로봇제어,자동화기계 및 로봇 SW(제어) 개발 연구원 채용,767,"['제어', 'C', '경력자', '통신', 'PLC']"
트리즈엔지니어링,경력 2~10년,회사내규에 따름,경기도 화성시 동탄산단5길 10-12,로봇제어,자율주행 로봇 및 관제 SW 개발자,768,"['자율주행', 'Linux', '제어', 'C', 'SW', '로봇', '시스템', '프로젝트', '학위', '협업', '박사', 'Python', '알고리즘', 'ROS']"
다임리서치,경력 5~10년,회사내규에 따름,서울 서초구 반포대로 28길 20 두원빌딩 2층,로봇제어,백엔드 엔지니어 (AI 로봇 관제 솔루션),769,"['제어', 'C', '데이터', '로봇', '시스템', '통신', 'AI', '알고리즘', '설계']"
다임리서치,경력 3~5년,회사내규에 따름,서울 서초구 반포대로 28길 20 두원빌딩 2층,로봇제어,웹 프론트엔드 엔지니어 (AI 로봇 관제 솔루션),770,"['로봇', '데이터', '경험을', '웹']"
트윔,경력신입~10년,회사내규에 따름,경기도 화성시 삼성1로 4길 7-4,로봇제어,[면접비 지급] 3D 머신비전 알고리즘 연구개발,771,"['전공자', '컴퓨터공학', 'C', '3D', '로봇', 'AI', '인공지능', '알고리즘']"
파이엇,경력신입~5년,회사내규에 따름,서울 강남구 영동대로 730 5층,로봇제어,SLAM & Navigation 개발자,772,"['석사', '공학', '자율주행', 'Linux', '제어', 'C', 'SW', '로봇', 'C++', '학위', '경력자', '박사', '알고리즘', 'ROS']"
플라잎,경력 3~5년,회사내규에 따름,경기도 성남시 분당구 대왕판교로 660 유스페이스1 B동 901호,로봇제어,C# Application Engineer(전문연구요원 가능),773,"['전공자', '네트워크', '학습', 'C', '데이터', '로봇', 'AI', '경험을', '공학', '설계']"
플라잎,경력 3~5년,회사내규에 따름,경기도 성남시 분당구 대왕판교로 660 유스페이스1 B동 901호,로봇제어,Robot Control Engineer(전문연구요원 가능),774,"['석사', '머신러닝', 'C', '프로젝트', '학위', '박사', 'AI', 'Python', 'ROS']"
한화로보틱스,경력 5~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,무인운반차(AGV) 전장설계 경력 엔지니어 모집,775,"['회로', '제어', '검증', '성능', '시스템', '경력자', '통신', '설계']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,무인운반차(AGV) 주행 분야 SW개발자 모집,776,"['논문', 'Linux', '제어', 'C', 'SW', '검증', '로봇', '시스템', '경력자', '알고리즘', '설계']"
한화로보틱스,경력 3~10년,회사내규에 따름,"경기 성남시 분당구 판교로 323 (삼평동,벤처포럼벤처타워) 5층",로봇제어,무인운반차(AGV) 관제 분야 SW개발자 모집,777,"['기획', '논문', '제어', 'C', 'SW', '검증', '경력자']"
센서텍,경력 3~10년,회사내규에 따름,서울시 강서구 마곡동 790-3,로봇제어,S/W 개발 (경력),778,"['전공자', '컴퓨터공학', 'Embedded', '영어', '제어', 'S/W', 'ADAS', '통신', '설계', 'PLC']"
씨메스,경력 3~10년,회사내규에 따름,"서울 강남구 도산대로 318 SB타워 7F, 8F",로봇제어,[CMES] 어플리케이션 알고리즘 엔지니어 경력직 채용,779,"['제어', 'C', '3D', 'SW', '개선', 'C++', '통신', '알고리즘']"
씨메스,경력 3~10년,회사내규에 따름,"서울 강남구 도산대로 318 SB타워 7F, 8F",로봇제어,[CMES] 어플리케이션 소프트웨어 엔지니어 경력직 채용,780,"['전공자', 'C', '3D', '로봇', '시스템', '프로젝트', '경력자', 'Python', '공학', '설계']"
아이로,경력신입~4년,회사내규에 따름,경기도 광명시 덕안로104번길 17 광명 M클러스터 3층 310호,로봇제어,전자회로 개발자 모집,781,"['회로', '드론', '분석', '로봇', '경험을', '설계']"
클로봇,경력 3~6년,회사내규에 따름,"경기도 성남시 분당구 성남대로925번길 16, 7층 701호(야탑동)",로봇제어,[클로봇] Robot Controller 및 Driver 개발자(병역특례 가능),782,"['학사', '공학', '자율주행', 'Linux', '제어', 'C', 'SW', '검증', '로봇', '협업', 'C++', '학위', '통신', '알고리즘', '설계', 'ROS']"
다임리서치,경력 2~7년,회사내규에 따름,서울시 서초구 반포대로28길 20,로봇제어,디지털 트윈 제작을 위한 Unity 3D 모델러,783,"['C', '3D', '프로젝트', '최적화', 'C++']"
다임리서치,경력 2~7년,회사내규에 따름,서울시 서초구 반포대로28길 20,로봇제어,디지털 트윈 제작을 위한 Unity 3D 개발자,784,"['학사', 'C', '3D', '성능', '프로젝트', '학위', 'C++', '최적화', '공학', '설계']"
유진로봇,경력 5~10년,회사내규에 따름,인천 연수구 하모니로187번길 33,로봇제어,AMS사업부 SI팀 PLC 엔지니어,785,"['제어', 'PLC']"
네오에이블,경력 3~10년,회사내규에 따름,서울시 구로구 디지털로 242 한화비즈메트로 315호,로봇제어,하드웨어 설계 및 소프트웨어 개발,786,"['제어', '회로', '영어', '설계']"
뉴빌리티,경력신입~5년,회사내규에 따름,"서울 성동구 왕십리로 115, 2층",로봇제어,Planning & Control Engineer(전문연구요원 가능),787,"['석사', '학사', '자율주행', '공학', 'Embedded', '영어', 'Linux', '제어', 'C', '성능', '로봇', '시스템', 'C++', '학위', '알고리즘', 'ROS']"
긴트,경력 2~9년,회사내규에 따름,경기 성남시 분당구 판교로228번길 17 4층 긴트,로봇제어,자율주행 개발자,788,"['자율주행', '논문', '제어', 'C', '시스템', 'C++', '최적화', 'AI', 'Python', '알고리즘']"
클로봇,경력 5~15년,회사내규에 따름,"경기도 성남시 분당구 성남대로925번길 16, 7층 701호(야탑동)",로봇제어,[클로봇] Path & Motion Planning 개발자(병역특례 가능) 채용,789,"['제어', 'C', '개선', 'SW', '로봇', '시스템', '협업', '학위', 'Linux', '설계', '석사', '자율주행', '알고리즘', '검증', 'C++', '박사', 'Python', '공학', 'ROS']"
시스콘,경력 3~10년,회사내규에 따름,"인천광역시 서구 로봇랜드로 155-30, 로봇R&D센터 4층",로봇제어,Robotics Engineer(Path planning & Control Engineer/Researcher),790,"['석사', '영어', '제어', 'C', '개선', '로봇', '협업', '프로젝트', '최적화', 'ROS']"
엠투아이코퍼레이션,경력 2~10년,회사내규에 따름,경기도 안양시 동안구 시민대로 327번길 11-35,로봇제어,스마트팩토리솔루션 구축 경력 채용,791,"['C', '제어', 'Vision', '로봇', '시스템', 'C++', '통신', 'PLC']"
오토엘,경력 3~10년,회사내규에 따름,"경기 성남시 수정구 금토로80번길 11, 301호, 302호, 303호, 304호, 305호",로봇제어,임베디드 소프트웨어 개발,792,"['학사', '제어', 'C', 'C++', '학위', '임베디드', '알고리즘']"
트리즈엔지니어링,경력 2~10년,회사내규에 따름,경기도 화성시 동탄산단5길 10-12,로봇제어,임베디드 MCU 펌웨어 개발자,793,"['제어', 'C', '협업', '프로젝트', '학위', '통신', '박사']"
오토엘,경력 3~15년,회사내규에 따름,"경기 성남시 수정구 금토로80번길 11, 301호, 302호, 303호, 304호, 305호",로봇제어,F/W 펌웨어 개발,794,"['학사', '공학', '제어', 'C', '임베디드', '알고리즘']"
텔콤씨앤에스,경력 3~7년,회사내규에 따름,"부산광역시 강서구 유통단지1로50, 221동 107호 (대저2동, 부산티플렉스)",로봇제어,FA 기술엔지니어링 경력 채용,795,"['전공자', '제어', '로봇', '경력자', 'AI', '인공지능']"
전진건설로봇,경력 5~15년,회사내규에 따름,충청북도 음성군 금왕읍 대금로 1264,로봇제어,전장 개발 경력 채용,796,"['제어', '시스템', '설계', '3D']"
클레온,경력 2~10년,회사내규에 따름,서울 중구 소월로2길 30 티타워 18층 클레온,딥러닝,"Deep Learning Researcher AI 딥러닝 연구원, CV 연구원 (Computer Vision, 병역특례 전문연구원 가능)",797,"['석사', 'Data', '네트워크', 'Computer', '영어', '논문', '3D', 'Tensorflow', 'Vision', '딥러닝']"
에프에스솔루션,경력 10~15년,회사내규에 따름,경기 성남시 수정구 금토로80번길 11,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (팀장급),798,"['학사', '전공자', '머신러닝', 'Computer', 'Embedded', 'C', '데이터', 'Vision', '딥러닝', 'ADAS', '영상처리', '최적화', '박사', 'Object', 'Python', '알고리즘', '설계', '이미지']"
에프에스솔루션,경력 3~9년,회사내규에 따름,경기 성남시 수정구 금토로80번길 11,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (3년이상),799,"['학사', '전공자', '머신러닝', 'Computer', 'Embedded', 'C', '데이터', 'Vision', '딥러닝', 'ADAS', '영상처리', '최적화', '박사', 'Object', 'Python', '알고리즘', '설계', '이미지']"
에프에스솔루션,경력신입,회사내규에 따름,경기 성남시 수정구 금토로80번길 11,딥러닝,컴퓨터 비전 딥러닝/머신러닝 개발자(ADAS/DMS/영상인식) (신입),800,"['학사', '전공자', '머신러닝', 'Computer', 'Embedded', 'C', '데이터', 'Vision', '딥러닝', 'ADAS', '영상처리', '최적화', '박사', 'Object', 'Python', '알고리즘', '설계', '이미지']"
슈어소프트테크,경력 3~15년,회사내규에 따름,경기 성남시 수정구 금토로80번길 37 인피니티타워 E동,딥러닝,[AI기술팀] 머신러닝/딥러닝 개발자,801,"['머신러닝', 'C', 'Tensorflow', '검증', '딥러닝', '시스템', '경력자', 'AI', 'Python', '설계']"
수퍼빈,경력 5~10년,회사내규에 따름,경기 성남시 황새울로 216 502-2호(휴맥스빌리지 5F),딥러닝,AI 및 딥러닝 개발 엔지니어,802,"['석사', '머신러닝', '딥러닝', '학위', 'AI', '알고리즘']"
블루닷,경력신입~3년,회사내규에 따름,"서울 강남구 언주로 527, 4층",딥러닝,[신입] 딥러닝 알고리즘 엔지니어,803,"['머신러닝', '네트워크', '학습', '논문', 'Tensorflow', '딥러닝', '프로젝트', '영상처리', '최적화', 'AI', '알고리즘']"
블루닷,경력 3~12년,회사내규에 따름,"서울 강남구 언주로 527, 4층",딥러닝,[경력] 딥러닝 알고리즘 엔지니어,804,"['머신러닝', '네트워크', '학습', '논문', 'Tensorflow', '딥러닝', '프로젝트', '영상처리', '최적화', 'AI', '박사', '알고리즘']"
에이모,경력 4~10년,회사내규에 따름,경기 성남시 분당구 벌말로50번길 41 투아이센터 7층,딥러닝,[AIMMO] Data-centric 기반 딥러닝  연구/개발(Data Scientist),805,"['석사', 'Data', '자율주행', '머신러닝', '컴퓨터공학', 'Computer', '3D', '개선', '분석', 'Tensorflow', '성능', '딥러닝', 'vision', '학위', '박사', '인공지능', 'Linux', '이미지']"
모빌린트,경력신입~20년,회사내규에 따름,"서울 강남구 테헤란로19길 5, 7층",딥러닝,[전문연구요원 가능] Deep Learning Research Engineer,806,"['Computer', '학습', '논문', 'C', '분석', '데이터', '딥러닝', 'vision', 'C++', 'TensorFlow', 'Python', '알고리즘', '설계']"
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,딥러닝,[전문연구요원 가능] ML Engineer/Researcher 채용,807,"['석사', 'Computer', '데이터', 'Vision', 'Tensorflow', '딥러닝', '프로젝트', '학위', '최적화', 'AI', '경력자', '박사', '알고리즘', '설계', '이미지']"
모빌린트,경력신입~20년,회사내규에 따름,"서울 강남구 테헤란로19길 5, 7층",딥러닝,[전문연구요원 가능] Deep Learning Optimization Engineer,808,"['학습', '논문', 'C', '분석', '딥러닝', 'C++', '최적화', 'TensorFlow', 'Python', '설계']"
딥브레인에이아이,경력 3~20년,회사내규에 따름,서울 강남구 역삼로 7길 6,딥러닝,머신러닝/딥러닝 엔지니어,809,"['전공자', '컴퓨터공학', '3D', '딥러닝', '영상처리', '경력자']"
다비오,경력 3~15년,회사내규에 따름,"서울 마포구 마포대로 144, 8층",딥러닝,딥러닝 엔지니어,810,"['Computer', '분석', '데이터', 'Vision', 'Tensorflow', '딥러닝', '프로젝트', 'object', 'AI', 'Python', '설계', '이미지']"
폼즈,경력신입,회사내규에 따름,서울특별시 구로구 디지털로33길 48,딥러닝,딥러닝 엔지니어(Generative 분야),811,"['전공자', 'computer', '영어', '개선', '데이터', '딥러닝', 'vision']"
무브멘토,경력신입,회사내규에 따름,서울 성동구 아차산로 104 무신사스튜디오 401호,딥러닝,AI 빅데이터 엔지니어 / 딥러닝 엔지니어 (빅데이터 실무자 모집),812,"['석사', '학사', '전공자', 'C/C++', 'C', '3D', '데이터', '딥러닝', '영상처리', 'C++', '엔지니어', 'AI', '경력자', '알고리즘', '이미지']"
모빌린트,경력신입~20년,회사내규에 따름,"서울 강남구 테헤란로19길 5, 7층",딥러닝,[전문연구요원 가능] NPU Compiler Engineer,813,"['네트워크', '논문', 'C', '딥러닝', '시스템', 'C++', '학위', '최적화', '경험을', '임베디드', 'Python', '알고리즘']"
에너자이,경력신입~10년,회사내규에 따름,서울 강남구 테헤란로27길 27,딥러닝,(전문연구요원 가능) AI 컴파일러 엔지니어 채용,814,"['석사', 'C/C++', 'tensorflow', 'C', 'Vision', '딥러닝', '시스템', '프로젝트', '학위', 'C++', 'AI', '최적화', '엔지니어', 'vision', '경력자', '박사']"
한국딥러닝,경력 2~15년,회사내규에 따름,"서울특별시 서초구 강남대로 537, 브랜드칸 타워 6층",딥러닝,OCR Engineer,815,"['딥러닝', '최적화', 'Tensorflow']"
에이모,경력 4~10년,회사내규에 따름,경기 성남시 분당구 벌말로50번길 41 투아이센터 7층,딥러닝,[AIMMO] ML 파이프라인 개발 및 DBMS 운영 (Data Engineer),816,"['컴퓨터공학', '개선', '데이터', '인공지능', 'Data', 'Computer', 'vision', '시스템', '학위', 'Linux', '설계', '이미지', '석사', '자율주행', '3D', 'ai', '머신러닝', '성능', '딥러닝', '최적화', '박사']"
아이브,경력 2~9년,회사내규에 따름,서울 서초구 남부순환로356길 89,딥러닝,Deep Learning Researcher (전문연 가능),817,"['Data', '석사', '논문', '개선', '딥러닝']"
플라잎,경력 3~5년,회사내규에 따름,경기도 성남시 분당구 대왕판교로 660 유스페이스1 B동 901호,딥러닝,Machine Learning Engineer(전문연구요원 가능),818,"['석사', '학사', '학습', '논문', 'C', '개선', '데이터', '성능', '딥러닝', '프로젝트', '학위', 'AI', '설계']"
인터엑스,경력 2~5년,회사내규에 따름,"울산광역시 중구 종가6길 7, 10층(혁신 더테라스)",딥러닝,"[울산] 데이터분석(시계열 데이터 분석, Data Scientist)",819,"['컴퓨터공학', '머신러닝', '논문', '분석', '데이터', 'Tensorflow', '딥러닝', '프로젝트', '학위', '경험을', '알고리즘', '이미지']"
인터엑스,경력 2~5년,회사내규에 따름,서울 금천구 가산디지털1로 171 1409호,딥러닝,"[서울] 데이터분석(시계열 데이터 분석, Data Scientist)",820,"['컴퓨터공학', '머신러닝', '논문', '분석', '데이터', 'Tensorflow', '딥러닝', '프로젝트', '학위', '경험을', '알고리즘', '이미지']"
인터엑스,경력 2~5년,회사내규에 따름,"울산광역시 중구 종가6길 7, 10층(혁신 더테라스)",딥러닝,"[울산] 데이터분석(이미지 및 영상 데이터 분석가, Data Scientist)",821,"['컴퓨터공학', '머신러닝', '논문', '데이터', 'Tensorflow', '딥러닝', '프로젝트', '학위', 'AI', 'Python', '알고리즘', '이미지']"
인터엑스,경력 2~5년,회사내규에 따름,서울 금천구 가산디지털1로 171 1409호,딥러닝,"[서울] 데이터분석(이미지 및 영상 데이터 분석가, Data Scientist)",822,"['컴퓨터공학', '머신러닝', '논문', '데이터', 'Tensorflow', '딥러닝', '프로젝트', '학위', 'AI', 'Python', '알고리즘', '이미지']"
앤씨앤,경력신입~10년,회사내규에 따름,"경기도 성남시 분당구 판교로 323(삼평동, 벤처포럼빌딩) 9층",딥러닝,딥러닝 영상 인식 Researcher 모집,823,"['학사', '네트워크', 'C', '딥러닝', 'C++', '학위', '박사', 'Object', 'Python', '임베디드']"
안티그래비티,경력 3~20년,회사내규에 따름,서울 성동구 성수이로22길 37 아크밸리 지식산업 센터 303c호 안티그래비티,딥러닝,[부피 알고리즘] AI(딥러닝) 연구 및 개발,824,"['석사', '머신러닝', '학습', 'Computer', '논문', '3D', '데이터', '분석', '3d', 'Vision', '검증', '딥러닝', '프로젝트', 'AI', '알고리즘', '설계', '이미지']"
